Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority
synthesia math,1.0,87,46,52.87%,0.00%,0,74.4,Long-term Target,High
math ai tutor,5.9,1028,47,4.57%,4.43%,45,74.4,Top 3 Push,High
family tutoring,7.7,194,0,0.00%,4.00%,7,74.3,Top 3 Push,High
synthisis ai,3.9,136,29,21.32%,0.00%,0,74.3,Long-term Target,High
synergy math,3.3,123,34,27.64%,0.00%,0,74.3,Long-term Target,High
ai tutor for elementary students,3.4,77,2,2.60%,15.40%,11,74.2,Long-term Target,High
sythesis tutor,1.0,404,322,79.70%,0.00%,0,74.2,Long-term Target,High
ai tutor for children,4.2,103,6,5.83%,7.17%,7,74.2,Top 3 Push,High
syntheisis,2.2,334,9,2.69%,21.31%,71,74.2,CTR Optimization,High
spacex kids program,3.0,75,9,12.00%,12.00%,9,74.2,CTR Optimization,High
shynthesis,2.1,94,27,28.72%,0.00%,0,74.1,Long-term Target,High
synthasis ai,3.8,125,30,24.00%,0.00%,0,74.1,Long-term Target,High
synthesys tutor,1.0,77,61,79.22%,0.00%,0,74.1,Long-term Target,High
k-5 math tutoring with teachers,2.5,55,0,0.00%,24.00%,13,74.0,CTR Optimization,High
ai math tutor,6.8,3160,206,6.52%,0.00%,0,74.0,Top 3 Push,High
síntesis tutor,1.0,73,61,83.56%,0.00%,0,74.0,Long-term Target,High
elon musk school,10.8,3813,27,0.71%,1.29%,49,73.9,Long-term Target,High
sunthesis tutor,1.0,71,58,81.69%,0.00%,0,73.9,Long-term Target,High
strategy camp 2025,3.5,68,1,1.47%,16.53%,11,73.9,Long-term Target,High
sinthesis tutor,1.0,70,60,85.71%,0.00%,0,73.9,Long-term Target,High
syntheis tutor,1.0,70,46,65.71%,0.00%,0,73.9,Long-term Target,High
ai school elon musk,3.1,81,10,12.35%,5.65%,4,73.8,Long-term Target,High
ai teacher for kids,4.9,102,8,7.84%,5.16%,5,73.7,Top 3 Push,High
sintesis school,1.5,67,27,40.30%,0.00%,0,73.6,Long-term Target,High
ai tutors for kids,4.5,279,20,7.17%,5.83%,16,73.5,Top 3 Push,High
synthess,2.6,316,8,2.53%,21.47%,67,73.5,CTR Optimization,High
educational video games examples,3.3,61,2,3.28%,14.72%,8,73.4,Long-term Target,High
s y n t h e s i s,3.2,214,1,0.47%,17.53%,37,73.3,Long-term Target,High
suynthesis,2.3,313,11,3.51%,20.49%,64,73.3,CTR Optimization,High
snthesis,2.0,320,14,4.38%,19.62%,62,73.3,CTR Optimization,High
systhesis ai,4.4,95,16,16.84%,0.00%,0,73.2,Long-term Target,High
elon musk education,43.1,2668,0,0.00%,2.00%,53,73.2,Long-term Target,High
examples of educational video games,3.9,60,2,3.33%,14.67%,8,73.2,Long-term Target,High
elon musk math program,1.3,271,108,39.85%,0.00%,0,73.1,Long-term Target,High
best ai tutor for kids,4.2,286,27,9.44%,3.56%,10,73.1,Top 3 Push,High
sytesis,2.4,64,18,28.12%,0.00%,0,73.1,Long-term Target,High
flash tutor service,6.3,95,0,0.00%,6.00%,5,73.0,Long-term Target,High
ai tutor kids,5.3,95,15,15.79%,0.00%,0,72.9,Long-term Target,High
best summer enrichment programs for kids,5.3,213,0,0.00%,9.00%,19,72.9,Top 3 Push,High
synthises,2.0,319,18,5.64%,18.36%,58,72.9,CTR Optimization,High
ai maths tutor,5.7,485,46,9.48%,0.00%,0,72.8,Top 3 Push,High
sunthesis ai,3.8,70,14,20.00%,0.00%,0,72.8,Long-term Target,High
what are some educational video games,5.2,71,1,1.41%,7.59%,5,72.7,Long-term Target,High
how do stories about overcoming some challenge help children,7.9,111,0,0.00%,4.00%,4,72.6,Top 3 Push,High
math tutors near me,37.7,8671,2,0.02%,1.98%,171,72.6,Long-term Target,High
synthethis,2.6,300,13,4.33%,19.67%,59,72.6,CTR Optimization,High
dot escuela,6.3,83,0,0.00%,6.00%,4,72.5,Long-term Target,High
kids ai tutor,4.9,70,7,10.00%,3.00%,2,72.5,Long-term Target,High
elon musk tutor,1.7,42,12,28.57%,2.43%,1,72.5,Long-term Target,High
free trial math tutor online,5.8,200,0,0.00%,9.00%,18,72.5,Top 3 Push,High
maths ai tutor,5.7,83,10,12.05%,0.00%,0,72.4,Long-term Target,High
educational video games for children,4.4,52,0,0.00%,13.00%,6,72.4,Long-term Target,High
sythesis teams,1.0,37,31,83.78%,0.00%,0,72.4,Long-term Target,High
fun educational video games,6.0,79,2,2.53%,3.47%,2,72.4,Long-term Target,High
synthese tutor,1.0,37,21,56.76%,0.00%,0,72.4,Long-term Target,High
best video games for kids and parents,5.9,66,0,0.00%,9.00%,5,72.3,Long-term Target,High
elon musk math,3.7,229,36,15.72%,2.28%,5,72.3,Long-term Target,High
educational video games for toddlers,6.1,74,1,1.35%,4.65%,3,72.3,Long-term Target,High
sybthesis,2.7,360,35,9.72%,14.28%,51,72.2,CTR Optimization,High
ai tutor for kids,4.3,1259,107,8.50%,4.50%,56,72.2,Top 3 Push,High
sinthesis ai,4.3,60,12,20.00%,0.00%,0,72.2,Long-term Target,High
elementary school video games,4.5,50,1,2.00%,11.00%,5,72.2,Long-term Target,High
synthesize ai,9.0,2056,2,0.10%,2.40%,49,72.2,Top 3 Push,High
ai tutor for math,7.6,338,3,0.89%,3.11%,10,72.1,Top 3 Push,High
video games school appropriate,3.9,42,1,2.38%,15.62%,6,72.1,Long-term Target,High
kids video games,13.1,1435,5,0.35%,1.65%,23,72.1,Top 10 Push,High
what is your favourite after-school activity,9.7,139,6,4.32%,0.00%,0,72.0,Top 3 Push,High
sythesis school,1.0,31,18,58.06%,0.00%,0,71.9,Long-term Target,High
school friendly video games,3.8,40,2,5.00%,13.00%,5,71.9,Long-term Target,High
420 tutoring,7.5,324,0,0.00%,4.00%,12,71.9,Top 3 Push,High
video games to play in school,6.4,278,5,1.80%,4.20%,11,71.9,Top 3 Push,High
ai math tutor free,7.7,394,11,2.79%,1.21%,4,71.9,Top 3 Push,High
educational video games for 8 year olds,4.3,42,0,0.00%,13.00%,5,71.9,Long-term Target,High
sintesis,21.0,1641,9,0.55%,1.45%,23,71.8,Long-term Target,High
ai math for kids,2.4,36,7,19.44%,4.56%,1,71.8,Long-term Target,High
videogames to play at school,5.0,51,1,1.96%,7.04%,3,71.8,Long-term Target,High
math tutor near me,38.2,10238,0,0.00%,2.00%,204,71.8,Long-term Target,High
ai maths tutoring,8.5,96,1,1.04%,1.96%,1,71.7,Long-term Target,High
synthesize app,5.3,58,5,8.62%,0.38%,0,71.7,Long-term Target,High
elon musk language learning app,5.5,51,0,0.00%,9.00%,4,71.7,Long-term Target,High
educational video games,6.1,2725,36,1.32%,4.68%,127,71.7,Top 3 Push,High
spacex math,1.0,28,11,39.29%,0.00%,0,71.7,Long-term Target,High
what games are educational,7.1,74,1,1.35%,2.65%,1,71.7,Long-term Target,High
sysnthesis ai,4.6,50,6,12.00%,1.00%,0,71.6,Long-term Target,High
best ai math tutor,6.0,181,3,1.66%,7.34%,13,71.6,Top 3 Push,High
syntensis,3.1,38,6,15.79%,2.21%,0,71.6,Long-term Target,High
strategy camp,6.5,65,2,3.08%,2.92%,1,71.6,Long-term Target,High
synsesis,4.0,44,5,11.36%,1.64%,0,71.6,Long-term Target,High
ai math tutor online,4.2,38,0,0.00%,13.00%,4,71.6,Long-term Target,High
video games for students,5.0,47,2,4.26%,4.74%,2,71.5,Long-term Target,High
systhsis,2.5,28,2,7.14%,16.86%,4,71.5,CTR Optimization,High
"""group activities for kids""",7.1,436,0,0.00%,4.00%,17,71.5,Top 3 Push,High
learn french for kids,1.0,14,0,0.00%,31.00%,4,71.5,CTR Optimization,High
how do stories contribute to children’s self-discovery?,8.5,83,0,0.00%,3.00%,2,71.5,Long-term Target,High
ai powered math tutor,4.5,44,4,9.09%,3.91%,1,71.5,Long-term Target,High
math tutor app,8.3,754,7,0.93%,2.07%,15,71.5,Top 3 Push,High
joshua dahn,10.4,485,2,0.41%,1.59%,7,71.4,Long-term Target,High
maths tutor ai,6.9,61,1,1.64%,4.36%,2,71.4,Long-term Target,High
summer course for kids,11.0,133,2,1.50%,0.50%,0,71.4,Top 10 Push,High
syntehsis ai,4.0,40,9,22.50%,0.00%,0,71.4,Long-term Target,High
sythesis ai tutor,1.0,24,19,79.17%,0.00%,0,71.3,Long-term Target,High
syntheis ai,3.6,37,8,21.62%,0.00%,0,71.3,Long-term Target,High
how much does elon musk make a year,10.6,10,0,0.00%,2.00%,0,71.3,Long-term Target,High
ai kids tutor,3.8,38,9,23.68%,0.00%,0,71.3,Long-term Target,High
elon musk maths,5.7,52,4,7.69%,1.31%,0,71.3,Long-term Target,High
musk math,5.0,43,1,2.33%,6.67%,2,71.3,Long-term Target,High
educational video games for students,4.8,38,0,0.00%,13.00%,4,71.3,Long-term Target,High
synihesis,2.7,236,4,1.69%,22.31%,52,71.3,CTR Optimization,High
elon musk homeschool program,5.1,45,3,6.67%,2.33%,1,71.3,Long-term Target,High
tutor 2.0,8.4,80,6,7.50%,0.00%,0,71.2,Long-term Target,High
how do stories contribute to children's self discovery,9.0,82,0,0.00%,2.50%,2,71.2,Long-term Target,High
best summer courses for kids,8.4,76,1,1.32%,1.68%,1,71.2,Long-term Target,High
how do stories about overcoming some challenge help children?,7.8,66,0,0.00%,4.00%,2,71.2,Long-term Target,High
spacex lab school,5.6,219,16,7.31%,1.69%,3,71.2,Top 3 Push,High
synthessi,2.1,233,6,2.58%,21.42%,49,71.2,CTR Optimization,High
ai tutor for homeschool,4.1,33,1,3.03%,9.97%,3,71.2,Long-term Target,High
synthhesis,2.5,24,1,4.17%,19.83%,4,71.2,CTR Optimization,High
spacex summer camp,2.2,134,42,31.34%,0.00%,0,71.1,Long-term Target,High
999 math join,9.7,339,0,0.00%,2.50%,8,71.1,Top 3 Push,High
sythensis ai,3.1,31,9,29.03%,0.00%,0,71.1,Long-term Target,High
video games that help you learn,4.9,38,2,5.26%,7.74%,2,71.1,Long-term Target,High
josh dahn,9.5,392,4,1.02%,1.48%,5,71.0,Top 3 Push,High
240 tutoring login,20.2,78,0,0.00%,2.00%,1,71.0,Long-term Target,High
sythisis,1.9,237,27,11.39%,19.61%,46,71.0,CTR Optimization,High
best educational video games for kids,5.1,40,2,5.00%,4.00%,1,71.0,Long-term Target,High
synthysis,2.1,231,8,3.46%,20.54%,47,71.0,CTR Optimization,High
synethesis ai,3.6,32,6,18.75%,0.00%,0,71.0,Long-term Target,High
ai based math tutor,4.0,31,2,6.45%,6.55%,2,70.9,Long-term Target,High
help trying to find grade school kids math tutor,16.3,225,0,0.00%,2.00%,4,70.9,Top 10 Push,High
sythesis math,1.0,99,69,69.70%,0.00%,0,70.9,Long-term Target,High
educational video games for 10 year olds,4.2,126,9,7.14%,5.86%,7,70.9,Top 3 Push,High
best math tutor ai,4.1,30,1,3.33%,9.67%,2,70.8,Long-term Target,High
elon musk summer camp,1.2,95,28,29.47%,1.53%,1,70.8,Long-term Target,High
ai education tutor,6.5,48,2,4.17%,1.83%,0,70.8,Long-term Target,High
math tutor ai,7.3,1024,35,3.42%,0.58%,5,70.8,Top 3 Push,High
synthetis tutor,1.0,19,18,94.74%,0.00%,0,70.8,Long-term Target,High
free online math tutor no sign up,6.5,44,0,0.00%,6.00%,2,70.8,Long-term Target,High
sinthesis,5.2,656,26,3.96%,5.04%,33,70.8,Top 3 Push,High
math ai\,8.4,66,2,3.03%,0.00%,0,70.8,Long-term Target,High
ai math curriculum,6.3,46,9,19.57%,0.00%,0,70.8,Long-term Target,High
ai math tutors,7.8,58,3,5.17%,0.00%,0,70.7,Long-term Target,High
courses children of summer,6.5,43,0,0.00%,6.00%,2,70.7,Long-term Target,High
senthisis,2.6,21,2,9.52%,14.48%,3,70.7,CTR Optimization,High
math school ai,8.4,64,1,1.56%,1.44%,0,70.7,Long-term Target,High
elon musk math teacher,4.6,29,0,0.00%,13.00%,3,70.7,Long-term Target,High
synthesls,2.2,21,4,19.05%,4.95%,1,70.6,Long-term Target,High
after-school event ideas,14.7,160,0,0.00%,2.00%,3,70.6,Top 10 Push,High
famous educational games,7.0,47,0,0.00%,4.00%,1,70.6,Long-term Target,High
ai tutor school,7.9,52,0,0.00%,4.00%,2,70.6,Long-term Target,High
free math ai tutor,7.1,49,1,2.04%,1.96%,0,70.6,Long-term Target,High
synethsis,2.4,263,22,8.37%,15.63%,41,70.6,CTR Optimization,High
elon musk home school,7.8,52,1,1.92%,2.08%,1,70.5,Long-term Target,High
ai tutor for high school students,6.8,42,0,0.00%,6.00%,2,70.5,Long-term Target,High
best educational video games for 5 year olds,4.0,25,0,0.00%,13.00%,3,70.5,Long-term Target,High
ai tutor,22.7,5466,53,0.97%,1.03%,56,70.5,First Page Push,High
best video games for school,8.1,54,0,0.00%,3.00%,1,70.5,Long-term Target,High
synthesia ai tutor,2.8,23,10,43.48%,0.00%,0,70.5,Long-term Target,High
synthesies,2.4,210,4,1.90%,22.10%,46,70.5,CTR Optimization,High
ai tutor maths,7.1,47,2,4.26%,0.00%,0,70.5,Long-term Target,High
kids math tutor online,13.4,130,1,0.77%,1.23%,1,70.5,Top 10 Push,High
online summer camp 2025,5.2,32,1,3.12%,5.88%,1,70.4,Long-term Target,High
sinthesise ai,5.2,32,1,3.12%,5.88%,1,70.4,Long-term Target,High
elon musk online school for kids,5.0,32,3,9.38%,0.00%,0,70.4,Long-term Target,High
sythesys,5.3,32,1,3.12%,5.88%,1,70.4,Long-term Target,High
educational console games,5.2,30,0,0.00%,9.00%,2,70.4,Long-term Target,High
online ai math tutor,6.5,41,5,12.20%,0.00%,0,70.4,Long-term Target,High
best ai tutor for math,5.8,33,0,0.00%,9.00%,2,70.4,Long-term Target,High
learning video games for 7 year olds,5.7,119,1,0.84%,8.16%,9,70.4,Top 3 Push,High
change tutoring,10.2,72,0,0.00%,2.00%,1,70.3,Long-term Target,High
math tutor online ai,5.3,32,2,6.25%,2.75%,0,70.3,Long-term Target,High
list of educational video games,5.0,29,1,3.45%,5.55%,1,70.3,Long-term Target,High
maths tutor for 5 year old,9.7,63,0,0.00%,2.50%,1,70.3,Long-term Target,High
how much does a math tutor cost,31.6,2158,0,0.00%,2.00%,43,70.2,Long-term Target,High
best ai tutors for kids,5.1,29,1,3.45%,5.55%,1,70.2,Long-term Target,High
synthetis ai,4.3,26,5,19.23%,0.00%,0,70.2,Long-term Target,High
elon musk ai education,5.5,32,2,6.25%,2.75%,0,70.2,Long-term Target,High
math help.tech,4.6,24,0,0.00%,13.00%,3,70.2,Long-term Target,High
easy tutoring app,8.1,245,1,0.41%,2.59%,6,70.2,Top 3 Push,High
educational video games for 6 year olds,5.8,30,0,0.00%,9.00%,2,70.1,Long-term Target,High
symthesis ai,3.2,21,7,33.33%,0.00%,0,70.1,Long-term Target,High
ai algebra tutor,6.0,32,1,3.12%,5.88%,1,70.1,Long-term Target,High
elon musk ai tutor,6.6,37,5,13.51%,0.00%,0,70.1,Long-term Target,High
synthesize learning,3.9,102,5,4.90%,13.10%,13,70.1,Long-term Target,High
aynthesis,2.7,217,10,4.61%,19.39%,42,70.1,CTR Optimization,High
space x summer camp,2.1,17,4,23.53%,0.47%,0,70.1,Long-term Target,High
math ai for kids,3.4,21,4,19.05%,0.00%,0,70.1,Long-term Target,High
aaron sitze,7.8,42,0,0.00%,4.00%,1,70.1,Long-term Target,High
math tutoring for teens,12.5,93,0,0.00%,2.00%,1,70.1,Top 10 Push,High
maths tutor app,12.2,92,2,2.17%,0.00%,0,70.1,Top 10 Push,High
ai tutoring platform,6.2,32,0,0.00%,6.00%,1,70.0,Long-term Target,High
mathematics tutor makes it easy,9.3,54,0,0.00%,2.50%,1,70.0,Long-term Target,High
ai learning tutor,8.2,44,0,0.00%,3.00%,1,70.0,Long-term Target,High
what is your favourite after school activity,10.4,67,2,2.99%,0.00%,0,70.0,Long-term Target,Medium
elon musk online school,6.0,364,28,7.69%,1.31%,4,70.0,Top 3 Push,Medium
synthsesis,2.5,16,1,6.25%,17.75%,2,70.0,CTR Optimization,Medium
free ai math tutor online,5.4,26,0,0.00%,9.00%,2,70.0,Long-term Target,Medium
famous video games for kids,8.7,47,0,0.00%,3.00%,1,69.9,Long-term Target,Medium
synnthesis,2.0,165,7,4.24%,26.76%,44,69.9,CTR Optimization,Medium
best video games for family game night,1.1,39,0,0.00%,31.00%,12,69.9,CTR Optimization,Medium
ynthesis,2.6,198,5,2.53%,21.47%,42,69.9,CTR Optimization,Medium
synithis,2.5,16,2,12.50%,11.50%,1,69.9,CTR Optimization,Medium
free ai tutor for kids,7.6,38,0,0.00%,4.00%,1,69.9,Long-term Target,Medium
senthesis,3.0,206,7,3.40%,20.60%,42,69.8,CTR Optimization,Medium
geometry tutor software,7.1,142,0,0.00%,4.00%,5,69.8,Top 3 Push,Medium
https://dashboard.synt...,5.2,396,0,0.00%,9.00%,35,69.8,Top 3 Push,Medium
ai companies math education,3.6,17,0,0.00%,18.00%,3,69.8,Long-term Target,Medium
maths tutor on line,15.5,130,0,0.00%,2.00%,2,69.7,Top 10 Push,Medium
join 999 math,9.4,203,0,0.00%,2.50%,5,69.7,Top 3 Push,Medium
video games for kids,18.4,2333,11,0.47%,1.53%,35,69.7,Top 10 Push,Medium
synergy tutor,1.0,12,10,83.33%,0.00%,0,69.7,Long-term Target,Medium
elon musk homeschool,7.9,244,5,2.05%,1.95%,4,69.7,Top 3 Push,Medium
elon musk school for kids,7.5,599,20,3.34%,0.66%,3,69.6,Top 3 Push,Medium
computer math tutoring,5.5,23,0,0.00%,9.00%,2,69.6,Long-term Target,Medium
synthetic learning,6.8,31,1,3.23%,2.77%,0,69.6,Long-term Target,Medium
ai tutor startup,8.5,39,0,0.00%,3.00%,1,69.6,Long-term Target,Medium
best tutor math,10.5,54,0,0.00%,2.00%,1,69.6,Long-term Target,Medium
summer camp 2025,15.5,536,5,0.93%,1.07%,5,69.6,Top 10 Push,Medium
sytheisis,1.8,12,1,8.33%,22.67%,2,69.6,CTR Optimization,Medium
synthesid,2.7,215,14,6.51%,17.49%,37,69.6,CTR Optimization,Medium
elementary math tutor,14.0,3779,1,0.03%,1.97%,74,69.5,Top 10 Push,Medium
educational video games for 7 year-olds,4.1,70,2,2.86%,10.14%,7,69.5,Long-term Target,Medium
musk school,9.4,228,8,3.51%,0.00%,0,69.5,Top 3 Push,Medium
ai tutor for science,20.3,241,0,0.00%,2.00%,4,69.5,Long-term Target,Medium
school elon musk,9.8,48,1,2.08%,0.42%,0,69.4,Long-term Target,Medium
spacex camp,10.8,56,3,5.36%,0.00%,0,69.4,Long-term Target,Medium
synhesis,2.5,207,13,6.28%,17.72%,36,69.4,CTR Optimization,Medium
ai school tutor,5.7,113,9,7.96%,1.04%,1,69.4,Top 3 Push,Medium
ai math tutor app,6.6,118,4,3.39%,2.61%,3,69.4,Top 3 Push,Medium
joshua dahn wikipedia,9.7,43,0,0.00%,2.50%,1,69.3,Long-term Target,Medium
computer math tutors,6.0,23,0,0.00%,6.00%,1,69.3,Long-term Target,Medium
syntetis,3.1,14,1,7.14%,10.86%,1,69.3,Long-term Target,Medium
elon musk math app,1.1,52,17,32.69%,0.00%,0,69.3,Long-term Target,Medium
free ai math tutor,7.6,144,3,2.08%,1.92%,2,69.3,Top 3 Push,Medium
synthwsis,1.7,11,2,18.18%,12.82%,1,69.3,Long-term Target,Medium
sybthesis tutor,1.0,10,9,90.00%,0.00%,0,69.3,Long-term Target,Medium
are there any educational video games suitable for kids,2.6,12,0,0.00%,24.00%,2,69.3,CTR Optimization,Medium
educational videos and games for kids,18.4,579,0,0.00%,2.00%,11,69.2,Top 10 Push,Medium
good video games to play at school,7.7,30,1,3.33%,0.67%,0,69.2,Long-term Target,Medium
synthessis,2.3,214,19,8.88%,15.12%,32,69.2,CTR Optimization,Medium
elon musk learning app,1.2,47,13,27.66%,3.34%,1,69.1,Long-term Target,Medium
ai tutor for schools,8.2,32,1,3.12%,0.00%,0,69.1,Long-term Target,Medium
syntgesis,2.9,200,13,6.50%,17.50%,35,69.1,CTR Optimization,Medium
synthese ai,5.9,21,4,19.05%,0.00%,0,69.1,Long-term Target,Medium
ai tutor platforms,8.0,30,0,0.00%,3.00%,0,69.1,Long-term Target,Medium
ai tutor elon musk,7.2,26,5,19.23%,0.00%,0,69.1,Long-term Target,Medium
educational videos games,7.2,25,0,0.00%,4.00%,1,69.1,Long-term Target,Medium
synthensis,2.9,203,14,6.90%,17.10%,34,69.0,CTR Optimization,Medium
easy thinkers tutoring,7.3,25,0,0.00%,4.00%,1,69.0,Long-term Target,Medium
syntezis,6.6,23,2,8.70%,0.00%,0,69.0,Long-term Target,Medium
space x camp,10.2,42,3,7.14%,0.00%,0,69.0,Long-term Target,Medium
good after school activities for kids,7.2,25,1,4.00%,0.00%,0,69.0,Long-term Target,Medium
are there any educational video games for kids,4.5,15,0,0.00%,13.00%,1,68.9,Long-term Target,Medium
marh ai,9.0,43,1,2.33%,0.17%,0,68.9,Long-term Target,Medium
after school activities ideas for elementary,9.1,212,11,5.19%,0.00%,0,68.9,Top 3 Push,Medium
kids math tutoring,8.7,181,0,0.00%,3.00%,5,68.8,Top 3 Push,Medium
sythnesis,2.1,183,13,7.10%,16.90%,30,68.7,CTR Optimization,Medium
school is too easy,8.3,27,1,3.70%,0.00%,0,68.7,Long-term Target,Medium
family link tutor time,10.7,178,0,0.00%,2.00%,3,68.7,Long-term Target,Medium
afterschool activity,8.4,271,0,0.00%,3.00%,8,68.7,Top 3 Push,Medium
elon musk school for kids online,5.8,17,0,0.00%,9.00%,1,68.7,Long-term Target,Medium
best ai maths tutor,2.7,10,1,10.00%,14.00%,1,68.7,CTR Optimization,Medium
sythesis ai,4.0,509,78,15.32%,2.68%,13,68.7,Long-term Target,Medium
spacex education program,3.7,49,3,6.12%,11.88%,5,68.6,Long-term Target,Medium
ai math tutoring,7.4,114,4,3.51%,0.49%,0,68.6,Top 3 Push,Medium
stnthesis ai,2.6,10,8,80.00%,0.00%,0,68.6,Long-term Target,Medium
elon tutoring,11.1,74,0,0.00%,2.00%,1,68.6,Top 10 Push,Medium
elementary enrichment tutors,7.3,22,0,0.00%,4.00%,0,68.6,Long-term Target,Medium
ai tutor for middle school students,6.5,19,1,5.26%,0.74%,0,68.6,Long-term Target,Medium
learning video games for kids,6.7,86,2,2.33%,3.67%,3,68.6,Long-term Target,Medium
math ai tutor free,8.4,26,2,7.69%,0.00%,0,68.6,Long-term Target,Medium
ask many tutors,8.4,26,0,0.00%,3.00%,0,68.6,Long-term Target,Medium
video games you can play at school,8.0,24,1,4.17%,0.00%,0,68.5,Long-term Target,Medium
fun video games to play at school,8.4,559,3,0.54%,2.46%,13,68.5,Top 3 Push,Medium
school ai tutor,8.7,27,1,3.70%,0.00%,0,68.5,Long-term Target,Medium
after-school activities for 12 year olds,8.8,27,3,11.11%,0.00%,0,68.5,Long-term Target,Medium
my child is not challenged at school,1.6,32,4,12.50%,18.50%,5,68.5,CTR Optimization,Medium
shnthesis,2.6,156,4,2.56%,21.44%,33,68.5,CTR Optimization,Medium
mathematics education tutoring,8.0,23,0,0.00%,3.00%,0,68.4,Long-term Target,Medium
summer workshop for kids,8.3,24,1,4.17%,0.00%,0,68.4,Long-term Target,Medium
best video games for children,12.0,44,0,0.00%,2.00%,0,68.4,Long-term Target,Medium
signs your child is not being challenged in school,5.5,62,1,1.61%,7.39%,4,68.4,Long-term Target,Medium
ai math tutor high school,6.1,16,0,0.00%,6.00%,0,68.4,Long-term Target,Medium
best educational video games,6.0,148,8,5.41%,3.59%,5,68.4,Top 3 Push,Medium
