Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
math tutors for kids,11.3,462,0,0.00%,2.00%,9,76.8,First Page Push,High,49,4.86,Informational
educational games for kids,54.5,5471,2,0.04%,1.96%,107,76.6,Long-term Target,High,24,2.03,Informational
josh dahn,9.5,396,4,1.01%,1.49%,5,76.6,Top 10 Push,High,39,1.79,Informational
math tutor for kids,12.6,526,2,0.38%,1.62%,8,76.6,First Page Push,High,31,3.41,Informational
999 math join,9.7,344,0,0.00%,2.50%,8,76.4,Top 10 Push,High,30,1.91,Informational
clm tutor,20.2,918,0,0.00%,2.00%,18,76.3,Long-term Target,High,50,3.33,Informational
educational video games for 5 year olds,4.6,147,4,2.72%,10.28%,15,76.3,Top 10 Push,High,22,2.88,Informational
best ai math tutor,6.0,182,3,1.65%,7.35%,13,76.3,Top 10 Push,High,61,16.34,Commercial
tutor app,19.5,896,2,0.22%,1.78%,15,76.3,First Page Push,High,62,3.27,Informational
afterschool activity,8.5,276,0,0.00%,3.00%,8,76.1,Top 10 Push,High,40,1.89,Informational
spacex lab school,5.6,221,16,7.24%,1.76%,3,76.0,Top 10 Push,High,39,1.05,Informational
after school program activities,27.1,1473,3,0.20%,1.80%,26,75.9,Content Optimization,High,19,0.9,Informational
elementary math tutoring,12.5,423,0,0.00%,2.00%,8,75.9,First Page Push,High,29,3.17,Informational
maths tuition near me,43.9,3303,0,0.00%,2.00%,66,75.9,Content Optimization,High,28,1.13,Informational
afterschool activities,16.7,653,3,0.46%,1.54%,10,75.8,First Page Push,High,16,1.77,Informational
easy tutoring app,8.0,250,1,0.40%,2.60%,6,75.8,Top 10 Push,High,49,3.02,Informational
educational videogames,5.2,145,1,0.69%,8.31%,12,75.7,Top 10 Push,High,24,2.7,Informational
educational gaming,14.0,477,1,0.21%,1.79%,8,75.7,First Page Push,High,42,3.85,Informational
online tutor for kids,24.3,1130,1,0.09%,1.91%,21,75.7,Content Optimization,High,33,3.26,Informational
keiki app,1.0,67,0,0.00%,31.00%,20,75.7,CTR Optimization,High,38,1.15,Informational
elon musk homeschool,7.9,247,6,2.43%,1.57%,3,75.5,Top 10 Push,High,22,1.08,Informational
popular kids video games,11.5,343,1,0.29%,1.71%,5,75.3,First Page Push,High,15,1.57,Informational
space x school,7.1,214,5,2.34%,1.66%,3,75.3,Top 10 Push,High,34,1.68,Informational
personalized tutoring,29.7,1503,1,0.07%,1.93%,29,75.3,Content Optimization,High,34,4.43,Informational
synthesize learning,3.9,103,5,4.85%,13.15%,13,75.3,Long-term Target,High,17,4.44,Navigational
family tutoring,7.7,194,0,0.00%,4.00%,7,75.2,Top 10 Push,High,47,4.78,Informational
educational video games for 10 year olds,4.2,126,9,7.14%,5.86%,7,75.2,Top 10 Push,High,23,1.79,Informational
summer camp 2025,15.5,536,5,0.93%,1.07%,5,75.2,First Page Push,High,30,1.08,Informational
video games for learning,5.0,124,1,0.81%,8.19%,10,75.1,Top 10 Push,High,31,3.96,Informational
elon musk summer camp,1.2,98,29,29.59%,1.41%,1,75.0,Long-term Target,High,11,1.13,Informational
educational videos and games for kids,18.4,579,0,0.00%,2.00%,11,74.9,First Page Push,High,24,2.21,Informational
how to find a math tutor for your child,15.3,430,0,0.00%,2.00%,8,74.8,First Page Push,High,16,1.65,Informational
best educational video games,6.0,149,8,5.37%,3.63%,5,74.8,Top 10 Push,High,43,2.97,Commercial
tutor,64.1,20704,1,0.00%,2.00%,413,74.8,Long-term Target,High,49,4.01,Informational
fun school video games,2.7,76,5,6.58%,17.42%,13,74.7,CTR Optimization,High,14,1.92,Informational
learning video games for 7 year olds,5.7,120,1,0.83%,8.17%,9,74.6,Top 10 Push,High,23,2.86,Informational
math tutor website,22.6,792,0,0.00%,2.00%,15,74.6,Content Optimization,High,43,3.51,Informational
join 999 math,9.4,207,0,0.00%,2.50%,5,74.5,Top 10 Push,High,42,1.08,Informational
ai tutor for children,4.2,103,6,5.83%,7.17%,7,74.5,Top 10 Push,High,50,9.19,Informational
math tutor cost,31.6,1498,0,0.00%,2.00%,29,74.5,Content Optimization,High,48,4.21,Transactional
educational video games for 4 year olds,8.3,195,3,1.54%,1.46%,2,74.4,Top 10 Push,High,33,2.39,Informational
programs for kids,17.0,496,3,0.60%,1.40%,6,74.4,First Page Push,High,34,1.6,Informational
kids math tutoring,8.7,182,0,0.00%,3.00%,5,74.4,Top 10 Push,High,43,2.8,Informational
kids educational video games,9.4,209,2,0.96%,1.54%,3,74.3,Top 10 Push,High,24,1.82,Informational
interesting child,1.0,51,0,0.00%,31.00%,15,74.3,CTR Optimization,High,38,1.74,Informational
after school program activities for kids,16.8,439,0,0.00%,2.00%,8,74.3,First Page Push,High,7,0.96,Informational
ai tutor for elementary students,3.4,77,2,2.60%,15.40%,11,74.3,Long-term Target,High,47,3.67,Informational
after school activity,21.5,670,0,0.00%,2.00%,13,74.3,Content Optimization,High,22,1.21,Informational
geometry tutor software,7.0,143,0,0.00%,4.00%,5,74.2,Top 10 Push,High,35,4.64,Informational
video games that are educational,5.6,113,3,2.65%,6.35%,7,74.2,Top 10 Push,High,22,2.31,Informational
lifetime kids academy hours,11.1,241,0,0.00%,2.00%,4,74.2,First Page Push,High,14,0.79,Informational
spacex kids program,3.0,75,9,12.00%,12.00%,9,74.2,CTR Optimization,High,21,1.18,Informational
elon musk education,43.1,2694,0,0.00%,2.00%,53,74.2,Content Optimization,High,39,2.68,Informational
algebra tutors near me,43.6,2748,0,0.00%,2.00%,54,74.2,Content Optimization,High,26,3.15,Informational
ai teacher for kids,4.9,102,8,7.84%,5.16%,5,74.0,Top 10 Push,High,41,3.45,Informational
ai school elon musk,3.1,81,10,12.35%,5.65%,4,73.9,Long-term Target,High,60,2.12,Informational
elementary math tutor near me,31.9,1372,0,0.00%,2.00%,27,73.9,Content Optimization,High,28,2.27,Informational
strategy camp 2025,3.5,68,1,1.47%,16.53%,11,73.8,Long-term Target,High,33,1.31,Informational
k-5 math tutoring with teachers,2.5,55,0,0.00%,24.00%,13,73.8,CTR Optimization,High,18,2.03,Informational
child tutor,11.9,228,0,0.00%,2.00%,4,73.7,First Page Push,High,31,3.33,Informational
free ai math tutor,7.6,144,3,2.08%,1.92%,2,73.7,Top 10 Push,High,53,6.44,Informational
best math tutoring program,13.8,277,0,0.00%,2.00%,5,73.7,First Page Push,High,60,4.54,Commercial
best video games to play at school,9.5,169,0,0.00%,2.50%,4,73.7,Top 10 Push,High,27,1.75,Commercial
fun after school activities,11.3,215,1,0.47%,1.53%,3,73.7,First Page Push,High,14,1.15,Informational
maths tutor near me,48.9,3255,0,0.00%,2.00%,65,73.7,Content Optimization,High,32,3.19,Informational
ai school tutor,5.7,114,9,7.89%,1.11%,1,73.6,Top 10 Push,High,65,7.83,Informational
elon musk's school,9.6,167,0,0.00%,2.50%,4,73.6,Top 10 Push,High,27,1.39,Informational
ai math tutor app,6.6,118,4,3.39%,2.61%,3,73.6,Top 10 Push,High,51,5.38,Informational
math tutor online free,17.1,389,1,0.26%,1.74%,6,73.6,First Page Push,High,47,4.66,Informational
tutor ai,34.9,1748,7,0.40%,1.60%,27,73.5,Content Optimization,High,75,8.1,Informational
what are some educational video games,4.9,76,1,1.32%,11.68%,8,73.3,Long-term Target,High,28,2.12,Informational
family link tutor time,10.7,179,0,0.00%,2.00%,3,73.3,Long-term Target,High,35,4.14,Informational
educational video games for 7 year-olds,4.2,71,2,2.82%,10.18%,7,73.3,Long-term Target,High,35,1.7,Informational
educational video games examples,3.3,61,2,3.28%,14.72%,8,73.3,Long-term Target,High,33,1.71,Informational
examples of educational video games,3.9,63,2,3.17%,14.83%,9,73.2,Long-term Target,High,24,2.33,Informational
flash tutor service,6.3,96,0,0.00%,6.00%,5,73.2,Long-term Target,High,43,3.17,Informational
video games for children,10.7,178,1,0.56%,1.44%,2,73.2,Long-term Target,High,13,1.4,Informational
fun after school activities for kids,8.9,135,1,0.74%,2.26%,3,73.1,Top 10 Push,High,21,0.64,Informational
best video games for family game night,1.1,39,0,0.00%,31.00%,12,73.1,CTR Optimization,High,38,1.82,Commercial
math tutor program,10.5,164,0,0.00%,2.00%,3,73.1,Long-term Target,High,42,3.12,Informational
kids after school activities,16.6,314,0,0.00%,2.00%,6,73.1,First Page Push,High,11,0.72,Informational
kids math tutor,8.5,127,0,0.00%,3.00%,3,73.1,Top 10 Push,High,46,4.84,Informational
video games educational,7.0,107,2,1.87%,2.13%,2,73.0,Top 10 Push,High,38,2.86,Informational
kindergarten math tutoring,14.0,238,0,0.00%,2.00%,4,73.0,First Page Push,High,34,2.03,Informational
how do stories about overcoming some challenge help children,7.9,111,0,0.00%,4.00%,4,73.0,Top 10 Push,High,22,0.65,Informational
examples of educational games,9.2,131,0,0.00%,2.50%,3,72.9,Top 10 Push,High,39,2.88,Informational
dot escuela,6.4,86,0,0.00%,6.00%,5,72.9,Long-term Target,High,22,1.59,Informational
elon musks school,9.1,126,0,0.00%,2.50%,3,72.8,Top 10 Push,High,37,1.72,Informational
5th grade math tutor near me,30.6,1044,0,0.00%,2.00%,20,72.8,Content Optimization,High,37,2.15,Informational
homeschool math tutor,8.2,112,1,0.89%,2.11%,2,72.7,Top 10 Push,High,37,3.55,Informational
math tutoring app,8.1,114,2,1.75%,1.25%,1,72.7,Top 10 Push,High,44,2.88,Informational
5th grade math tutors near me,29.5,919,0,0.00%,2.00%,18,72.6,Content Optimization,High,34,2.61,Informational
learning video games for kids,6.7,87,2,2.30%,3.70%,3,72.6,Long-term Target,High,26,2.72,Informational
excel tutors near me,32.3,1125,0,0.00%,2.00%,22,72.6,Content Optimization,High,42,3.68,Informational
math tutor ai,7.3,1028,35,3.40%,0.60%,6,72.6,Top 10 Push,High,69,6.77,Informational
elon musk learning app,1.2,47,13,27.66%,3.34%,1,72.6,Long-term Target,High,25,3.11,Informational
kids ai tutor,4.9,71,7,9.86%,3.14%,2,72.5,Long-term Target,High,51,6.57,Informational
in home math tutor,20.5,400,0,0.00%,2.00%,8,72.5,Long-term Target,High,31,4.38,Informational
after school activities high school,8.8,110,0,0.00%,3.00%,3,72.5,Top 10 Push,High,16,0.82,Informational
fun educational video games,6.0,79,2,2.53%,3.47%,2,72.4,Long-term Target,High,24,1.97,Informational
fun things to do after school,12.0,160,1,0.62%,1.38%,2,72.3,First Page Push,High,28,1.13,Informational
educational video games for toddlers,6.2,75,1,1.33%,4.67%,3,72.3,Long-term Target,High,22,1.65,Informational
ai tutoring,27.0,754,4,0.53%,1.47%,11,72.3,Content Optimization,High,58,8.77,Informational
elementary school tutor,37.6,1545,0,0.00%,2.00%,30,72.3,Content Optimization,High,37,3.28,Informational
after school activities for middle schoolers,11.8,154,1,0.65%,1.35%,2,72.3,First Page Push,High,17,0.69,Informational
math tutor software,6.9,81,1,1.23%,4.77%,3,72.3,Long-term Target,High,41,3.67,Informational
spacex education program,3.7,50,3,6.00%,12.00%,6,72.3,Long-term Target,High,22,2.73,Informational
best video games for kids and parents,5.9,66,0,0.00%,9.00%,5,72.2,Long-term Target,High,39,1.97,Commercial
what games are educational,7.0,79,1,1.27%,4.73%,3,72.1,Long-term Target,High,36,2.31,Informational
elon musk mathematics,7.4,88,2,2.27%,1.73%,1,72.1,Long-term Target,High,32,1.08,Informational
educational video games for children,4.4,52,0,0.00%,13.00%,6,72.1,Long-term Target,High,32,1.8,Informational
math tutoring program,13.3,174,1,0.57%,1.43%,2,72.1,First Page Push,High,25,3.16,Informational
kids tutor,21.1,390,0,0.00%,2.00%,7,72.1,Content Optimization,High,43,3.52,Informational
fun ideas for after school programs,14.2,189,0,0.00%,2.00%,3,72.1,First Page Push,High,25,0.7,Informational
signs your child is not being challenged in school,5.5,62,1,1.61%,7.39%,4,72.0,Long-term Target,High,15,0.66,Informational
after school program activities for elementary students,14.1,189,1,0.53%,1.47%,2,72.0,First Page Push,High,24,0.85,Informational
5th grade math tutoring online free,9.7,110,0,0.00%,2.50%,2,72.0,Top 10 Push,High,43,2.24,Informational
elementary school video games,4.5,52,1,1.92%,11.08%,5,72.0,Long-term Target,High,11,1.04,Informational
ai maths tutoring,8.5,96,1,1.04%,1.96%,1,72.0,Long-term Target,High,50,9.32,Informational
after school hobbies,7.7,81,0,0.00%,4.00%,3,71.9,Long-term Target,High,37,1.07,Informational
help trying to find grade school kids math tutor,16.3,225,0,0.00%,2.00%,4,71.9,First Page Push,High,33,1.98,Informational
4th grade math tutor,39.5,1619,0,0.00%,2.00%,32,71.9,Content Optimization,High,41,3.77,Informational
8th grade math tutor,34.3,1148,0,0.00%,2.00%,22,71.8,Content Optimization,High,35,3.17,Informational
math tutor for kindergarten,17.2,241,0,0.00%,2.00%,4,71.8,First Page Push,High,22,2.62,Informational
videogames to play at school,4.9,52,1,1.92%,11.08%,5,71.8,Long-term Target,High,24,0.76,Informational
educational games examples,9.0,96,1,1.04%,1.96%,1,71.8,Long-term Target,High,25,1.82,Informational
video games school appropriate,3.9,44,1,2.27%,15.73%,6,71.8,Long-term Target,High,13,0.79,Informational
my child is not challenged at school,1.6,33,4,12.12%,18.88%,6,71.7,CTR Optimization,High,23,0.69,Informational
after school activities ideas for middle schoolers,12.1,136,0,0.00%,2.00%,2,71.7,First Page Push,High,13,0.81,Informational
homeschool tutor near me,33.8,1087,0,0.00%,2.00%,21,71.7,Content Optimization,High,40,3.11,Informational
maths tutor,67.8,6224,0,0.00%,2.00%,124,71.7,Long-term Target,High,35,2.83,Informational
math tutoring software,6.4,66,1,1.52%,4.48%,2,71.7,Long-term Target,High,31,3.55,Informational
after school activities for teens,17.7,252,2,0.79%,1.21%,3,71.6,First Page Push,High,18,1.0,Informational
after school activities for elementary students,7.7,76,1,1.32%,2.68%,2,71.6,Long-term Target,High,23,0.98,Informational
fun things to do with kids after school,11.6,122,0,0.00%,2.00%,2,71.6,First Page Push,High,10,1.08,Informational
how do stories contribute to children’s self-discovery?,8.5,83,0,0.00%,3.00%,2,71.6,Long-term Target,High,7,0.75,Informational
99 math play,8.6,83,0,0.00%,3.00%,2,71.6,Long-term Target,High,43,1.84,Informational
free math tutoring for kids,10.3,103,0,0.00%,2.00%,2,71.6,Long-term Target,High,60,2.73,Informational
easy after school activities,10.6,106,0,0.00%,2.00%,2,71.6,Long-term Target,High,10,1.07,Informational
after school program ideas elementary,16.7,209,0,0.00%,2.00%,4,71.5,First Page Push,High,7,1.06,Informational
easy tutoring.app,8.2,81,1,1.23%,1.77%,1,71.5,Long-term Target,High,50,3.93,Informational
best video games to play in school,8.7,83,0,0.00%,3.00%,2,71.5,Long-term Target,High,31,1.62,Commercial
strategy camp,6.5,65,2,3.08%,2.92%,1,71.5,Long-term Target,High,32,1.63,Informational
school friendly video games,3.8,41,2,4.88%,13.12%,5,71.5,Long-term Target,High,28,0.7,Informational
best video game for kids,8.9,84,0,0.00%,3.00%,2,71.5,Long-term Target,High,45,2.18,Commercial
ai tutors,28.6,708,3,0.42%,1.58%,11,71.4,Content Optimization,High,73,8.09,Informational
video games for 6 year olds,15.9,197,1,0.51%,1.49%,2,71.4,First Page Push,High,25,0.76,Informational
video games for students,5.0,48,2,4.17%,8.83%,4,71.4,Long-term Target,High,24,1.92,Informational
ai math for kids,2.6,38,7,18.42%,5.58%,2,71.4,Long-term Target,High,65,2.27,Informational
after-school activities for 10 year olds,10.9,105,0,0.00%,2.00%,2,71.4,Long-term Target,High,9,1.12,Informational
summer courses for kids,18.6,254,1,0.39%,1.61%,4,71.4,First Page Push,High,30,1.35,Informational
math tutor help,18.4,249,0,0.00%,2.00%,4,71.4,First Page Push,High,44,2.69,Informational
elon musk language learning app,5.5,51,0,0.00%,9.00%,4,71.4,Long-term Target,High,21,2.2,Informational
educational video games for 8 year olds,4.4,43,0,0.00%,13.00%,5,71.4,Long-term Target,High,28,2.88,Informational
fun video games for school,6.1,58,1,1.72%,4.28%,2,71.4,Long-term Target,High,17,0.69,Informational
best video games for 12-year olds,13.4,141,0,0.00%,2.00%,2,71.4,First Page Push,High,42,2.0,Commercial
activities to do after school,13.6,144,0,0.00%,2.00%,2,71.4,First Page Push,High,15,0.94,Informational
how do stories contribute to children's self discovery,9.0,82,0,0.00%,2.50%,2,71.3,Long-term Target,High,13,1.03,Informational
after-school event ideas,14.7,160,0,0.00%,2.00%,3,71.3,First Page Push,High,27,1.08,Informational
after school program activity ideas,17.6,221,0,0.00%,2.00%,4,71.3,First Page Push,High,15,0.76,Informational
sysnthesis ai,4.6,50,6,12.00%,1.00%,0,71.3,Long-term Target,High,47,3.3,Informational
999 math login,8.7,78,0,0.00%,3.00%,2,71.3,Long-term Target,High,33,1.95,Informational
musk math,5.0,46,1,2.17%,10.83%,4,71.3,Long-term Target,High,58,1.86,Informational
best math tutoring programs for elementary students,10.3,97,0,0.00%,2.00%,1,71.3,Long-term Target,High,36,4.86,Commercial
best summer courses for kids,8.4,76,1,1.32%,1.68%,1,71.3,Long-term Target,High,43,1.16,Commercial
school ai,35.8,1225,4,0.33%,1.67%,20,71.2,Content Optimization,High,73,2.71,Informational
maths tutor ai,6.9,61,1,1.64%,4.36%,2,71.2,Long-term Target,High,64,9.74,Informational
learning video games for 5 year olds,5.8,50,0,0.00%,9.00%,4,71.2,Long-term Target,High,23,2.23,Informational
synsesis,4.0,45,5,11.11%,1.89%,0,71.2,Long-term Target,High,41,1.81,Informational
elon musk academy,10.0,88,0,0.00%,2.50%,2,71.2,Long-term Target,High,30,1.67,Informational
adhd tutor near me,37.5,1259,0,0.00%,2.00%,25,71.2,Content Optimization,High,36,4.21,Informational
fun afterschool activities for kids,7.1,63,1,1.59%,2.41%,1,71.2,Long-term Target,High,12,0.99,Informational
personalized math tutoring,7.9,69,1,1.45%,2.55%,1,71.1,Long-term Target,High,27,2.04,Informational
best online math tutor free,20.0,270,0,0.00%,2.00%,5,71.1,Long-term Target,High,48,3.92,Commercial
how do stories about overcoming some challenge help children?,7.8,66,0,0.00%,4.00%,2,71.1,Long-term Target,High,17,0.7,Informational
spacex education,5.9,54,3,5.56%,3.44%,1,71.1,Long-term Target,High,43,4.06,Informational
academic video games,6.6,56,1,1.79%,4.21%,2,71.1,Long-term Target,High,38,1.22,Informational
elementary school computer lab games 2010s,1.0,24,0,0.00%,31.00%,7,71.1,CTR Optimization,High,13,1.08,Informational
kid computer games,1.0,24,0,0.00%,31.00%,7,71.1,CTR Optimization,High,32,1.23,Informational
math tutor website free,10.6,93,0,0.00%,2.00%,1,71.0,Long-term Target,High,41,4.34,Informational
syntensis,3.1,38,6,15.79%,2.21%,0,71.0,Long-term Target,High,53,1.89,Informational
elon musk maths,5.7,52,4,7.69%,1.31%,0,71.0,Long-term Target,High,32,1.18,Informational
ai powered math tutor,4.5,44,4,9.09%,3.91%,1,71.0,Long-term Target,High,55,6.79,Informational
kids math tutor online,13.4,130,1,0.77%,1.23%,1,71.0,First Page Push,High,33,3.53,Informational
systhsis,2.5,30,2,6.67%,17.33%,5,71.0,CTR Optimization,High,55,1.57,Informational
digital tutor,18.3,215,0,0.00%,2.00%,4,71.0,First Page Push,High,46,3.61,Informational
ai math tutor online,4.2,38,0,0.00%,13.00%,4,71.0,Long-term Target,High,70,6.15,Informational
video games for kindergarteners,13.3,127,1,0.79%,1.21%,1,71.0,First Page Push,High,19,1.09,Informational
math ai',9.4,79,0,0.00%,2.50%,1,71.0,Long-term Target,High,71,2.64,Informational
best online homeschool programs,1.0,23,0,0.00%,31.00%,7,70.9,CTR Optimization,High,45,1.69,Commercial
geometry tutor near me,39.4,1382,0,0.00%,2.00%,27,70.9,Content Optimization,High,21,4.04,Informational
elon musk homeschool program,5.1,45,3,6.67%,2.33%,1,70.9,Long-term Target,High,10,0.8,Informational
4th grade math tutor near me,34.6,961,0,0.00%,2.00%,19,70.8,Content Optimization,High,30,1.78,Informational
math tutor app free,11.2,95,0,0.00%,2.00%,1,70.8,First Page Push,High,58,3.74,Informational
3rd grade math tutor near me,34.7,957,0,0.00%,2.00%,19,70.8,Content Optimization,High,25,1.86,Informational
educational video games for students,4.8,38,0,0.00%,13.00%,4,70.7,Long-term Target,High,31,2.62,Informational
math tutor apps,9.9,77,0,0.00%,2.50%,1,70.7,Long-term Target,High,50,4.06,Informational
examples of after school activities,8.0,59,0,0.00%,4.00%,2,70.7,Long-term Target,High,7,0.87,Informational
math tutoring apps,9.8,78,1,1.28%,1.22%,0,70.7,Long-term Target,High,47,4.06,Informational
6th grade math tutor near me,35.8,1023,0,0.00%,2.00%,20,70.7,Content Optimization,High,20,1.75,Informational
video games that help you learn,4.9,39,2,5.13%,7.87%,3,70.7,Long-term Target,High,18,2.92,Informational
kids computer games,1.0,22,0,0.00%,31.00%,6,70.6,CTR Optimization,High,22,1.35,Informational
free use tutor,8.3,62,0,0.00%,3.00%,1,70.6,Long-term Target,High,70,4.57,Informational
kids academy lifetime hours,10.1,77,0,0.00%,2.00%,1,70.6,Long-term Target,High,29,0.72,Informational
7th grade math tutor,39.4,1317,0,0.00%,2.00%,26,70.6,Content Optimization,High,48,3.44,Informational
