Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Est. Monthly Volume,Keyword Difficulty,Average CPC,Search Intent,Data Source
school friendly video games,3.8,40,2,5.00%,13.00%,5,71.9,Long-term Target,High,200,0,0.0,Informational,Ahrefs
420 tutoring,7.5,324,0,0.00%,4.00%,12,71.9,Top 3 Push,High,324,2,0.3,Informational,Ahrefs
video games to play in school,6.4,278,5,1.80%,4.20%,11,71.9,Top 3 Push,High,278,2,0.0,Informational,Ahrefs
ai math tutor free,7.7,394,11,2.79%,1.21%,4,71.9,Top 3 Push,High,394,0,0.0,Informational,Ahrefs
educational video games for 8 year olds,4.3,42,0,0.00%,13.00%,5,71.9,Long-term Target,High,210,0,0.0,Informational,Ahrefs
sintesis,21.0,1641,9,0.55%,1.45%,23,71.8,Long-term Target,High,1641,0,0.06,Informational,Ahrefs
ai math for kids,2.4,36,7,19.44%,4.56%,1,71.8,Long-term Target,High,180,0,0.0,Informational,Ahrefs
videogames to play at school,5.0,51,1,1.96%,7.04%,3,71.8,Long-term Target,High,255,0,0.0,Informational,Ahrefs
math tutor near me,38.2,10238,0,0.00%,2.00%,204,71.8,Long-term Target,High,10238,26,9.0,Informational,Ahrefs
ai maths tutoring,8.5,96,1,1.04%,1.96%,1,71.7,Long-term Target,High,480,0,0.0,Informational,Ahrefs
synthesize app,5.3,58,5,8.62%,0.38%,0,71.7,Long-term Target,High,290,0,0.0,Navigational,Ahrefs
elon musk language learning app,5.5,51,0,0.00%,9.00%,4,71.7,Long-term Target,High,255,0,0.0,Navigational,Ahrefs
educational video games,6.1,2725,36,1.32%,4.68%,127,71.7,Top 3 Push,High,2725,75,1.2,Informational,Ahrefs
spacex math,1.0,28,11,39.29%,0.00%,0,71.7,Long-term Target,High,140,0,0.0,Informational,Ahrefs
what games are educational,7.1,74,1,1.35%,2.65%,1,71.7,Long-term Target,High,370,0,0.0,Informational,Ahrefs
sysnthesis ai,4.6,50,6,12.00%,1.00%,0,71.6,Long-term Target,High,250,0,0.0,Informational,Ahrefs
best ai math tutor,6.0,181,3,1.66%,7.34%,13,71.6,Top 3 Push,High,181,0,0.0,Commercial,Ahrefs
syntensis,3.1,38,6,15.79%,2.21%,0,71.6,Long-term Target,High,190,0,0.0,Informational,Ahrefs
strategy camp,6.5,65,2,3.08%,2.92%,1,71.6,Long-term Target,High,325,0,0.0,Informational,Ahrefs
synsesis,4.0,44,5,11.36%,1.64%,0,71.6,Long-term Target,High,220,0,0.0,Informational,Ahrefs
ai math tutor online,4.2,38,0,0.00%,13.00%,4,71.6,Long-term Target,High,190,0,0.0,Informational,Ahrefs
video games for students,5.0,47,2,4.26%,4.74%,2,71.5,Long-term Target,High,235,0,0.0,Informational,Ahrefs
systhsis,2.5,28,2,7.14%,16.86%,4,71.5,CTR Optimization,High,140,0,0.0,Informational,Ahrefs
"""group activities for kids""",7.1,436,0,0.00%,4.00%,17,71.5,Top 3 Push,High,2180,50,0.0,Informational,GSC Est.
learn french for kids,1.0,14,0,0.00%,31.00%,4,71.5,CTR Optimization,High,250,10,0.0,Informational,Ahrefs
how do stories contribute to children’s self-discovery?,8.5,83,0,0.00%,3.00%,2,71.5,Long-term Target,High,415,0,0.0,Informational,Ahrefs
ai powered math tutor,4.5,44,4,9.09%,3.91%,1,71.5,Long-term Target,High,220,0,0.0,Informational,Ahrefs
math tutor app,8.3,754,7,0.93%,2.07%,15,71.5,Top 3 Push,High,754,14,2.5,Navigational,Ahrefs
joshua dahn,10.4,485,2,0.41%,1.59%,7,71.4,Long-term Target,High,485,1,0.03,Informational,Ahrefs
maths tutor ai,6.9,61,1,1.64%,4.36%,2,71.4,Long-term Target,High,305,0,0.0,Informational,Ahrefs
summer course for kids,11.0,133,2,1.50%,0.50%,0,71.4,Top 10 Push,High,665,0,0.0,Informational,Ahrefs
syntehsis ai,4.0,40,9,22.50%,0.00%,0,71.4,Long-term Target,High,200,0,0.0,Informational,Ahrefs
sythesis ai tutor,1.0,24,19,79.17%,0.00%,0,71.3,Long-term Target,High,120,0,0.0,Informational,Ahrefs
syntheis ai,3.6,37,8,21.62%,0.00%,0,71.3,Long-term Target,High,185,0,0.0,Informational,Ahrefs
how much does elon musk make a year,10.6,10,0,0.00%,2.00%,0,71.3,Long-term Target,High,3000,19,0.0,Informational,Ahrefs
ai kids tutor,3.8,38,9,23.68%,0.00%,0,71.3,Long-term Target,High,190,0,0.0,Informational,Ahrefs
elon musk maths,5.7,52,4,7.69%,1.31%,0,71.3,Long-term Target,High,260,0,0.0,Informational,Ahrefs
musk math,5.0,43,1,2.33%,6.67%,2,71.3,Long-term Target,High,215,0,0.0,Informational,Ahrefs
educational video games for students,4.8,38,0,0.00%,13.00%,4,71.3,Long-term Target,High,190,0,0.0,Informational,Ahrefs
synihesis,2.7,236,4,1.69%,22.31%,52,71.3,CTR Optimization,High,1180,50,0.0,Informational,GSC Est.
elon musk homeschool program,5.1,45,3,6.67%,2.33%,1,71.3,Long-term Target,High,225,0,0.0,Informational,Ahrefs
tutor 2.0,8.4,80,6,7.50%,0.00%,0,71.2,Long-term Target,High,400,0,0.0,Informational,Ahrefs
how do stories contribute to children's self discovery,9.0,82,0,0.00%,2.50%,2,71.2,Long-term Target,High,410,0,0.0,Informational,Ahrefs
best summer courses for kids,8.4,76,1,1.32%,1.68%,1,71.2,Long-term Target,High,380,0,0.0,Commercial,Ahrefs
how do stories about overcoming some challenge help children?,7.8,66,0,0.00%,4.00%,2,71.2,Long-term Target,High,330,0,0.0,Informational,Ahrefs
spacex lab school,5.6,219,16,7.31%,1.69%,3,71.2,Top 3 Push,High,219,0,0.0,Informational,Ahrefs
synthessi,2.1,233,6,2.58%,21.42%,49,71.2,CTR Optimization,High,1165,50,0.0,Informational,GSC Est.
ai tutor for homeschool,4.1,33,1,3.03%,9.97%,3,71.2,Long-term Target,High,165,0,0.0,Informational,Ahrefs
synthhesis,2.5,24,1,4.17%,19.83%,4,71.2,CTR Optimization,High,120,0,0.0,Informational,Ahrefs
spacex summer camp,2.2,134,42,31.34%,0.00%,0,71.1,Long-term Target,High,134,0,0.0,Informational,Ahrefs
999 math join,9.7,339,0,0.00%,2.50%,8,71.1,Top 3 Push,High,339,0,0.0,Informational,Ahrefs
sythensis ai,3.1,31,9,29.03%,0.00%,0,71.1,Long-term Target,High,155,0,0.0,Informational,Ahrefs
video games that help you learn,4.9,38,2,5.26%,7.74%,2,71.1,Long-term Target,High,190,0,0.0,Informational,Ahrefs
josh dahn,9.5,392,4,1.02%,1.48%,5,71.0,Top 3 Push,High,392,1,0.0,Informational,Ahrefs
240 tutoring login,20.2,78,0,0.00%,2.00%,1,71.0,Long-term Target,High,3300,3,0.1,Navigational,Ahrefs
sythisis,1.9,237,27,11.39%,19.61%,46,71.0,CTR Optimization,High,1185,50,0.0,Informational,GSC Est.
best educational video games for kids,5.1,40,2,5.00%,4.00%,1,71.0,Long-term Target,High,200,0,0.0,Commercial,Ahrefs
synthysis,2.1,231,8,3.46%,20.54%,47,71.0,CTR Optimization,High,1155,50,0.0,Informational,GSC Est.
synethesis ai,3.6,32,6,18.75%,0.00%,0,71.0,Long-term Target,High,160,0,0.0,Informational,Ahrefs
ai based math tutor,4.0,31,2,6.45%,6.55%,2,70.9,Long-term Target,High,155,0,0.0,Informational,Ahrefs
help trying to find grade school kids math tutor,16.3,225,0,0.00%,2.00%,4,70.9,Top 10 Push,High,1125,0,0.0,Informational,Ahrefs
sythesis math,1.0,99,69,69.70%,0.00%,0,70.9,Long-term Target,High,99,0,0.0,Informational,Ahrefs
educational video games for 10 year olds,4.2,126,9,7.14%,5.86%,7,70.9,Top 3 Push,High,126,0,1.0,Informational,Ahrefs
best math tutor ai,4.1,30,1,3.33%,9.67%,2,70.8,Long-term Target,High,150,0,0.0,Commercial,Ahrefs
elon musk summer camp,1.2,95,28,29.47%,1.53%,1,70.8,Long-term Target,High,95,0,0.0,Informational,Ahrefs
ai education tutor,6.5,48,2,4.17%,1.83%,0,70.8,Long-term Target,High,240,0,0.0,Informational,Ahrefs
math tutor ai,7.3,1024,35,3.42%,0.58%,5,70.8,Top 3 Push,High,1024,18,0.8,Informational,Ahrefs
synthetis tutor,1.0,19,18,94.74%,0.00%,0,70.8,Long-term Target,High,95,0,0.0,Informational,Ahrefs
free online math tutor no sign up,6.5,44,0,0.00%,6.00%,2,70.8,Long-term Target,High,220,0,0.0,Informational,Ahrefs
sinthesis,5.2,656,26,3.96%,5.04%,33,70.8,Top 3 Push,High,3280,50,0.0,Informational,GSC Est.
math ai\,8.4,66,2,3.03%,0.00%,0,70.8,Long-term Target,High,330,0,0.0,Informational,Ahrefs
ai math curriculum,6.3,46,9,19.57%,0.00%,0,70.8,Long-term Target,High,230,0,0.0,Informational,Ahrefs
ai math tutors,7.8,58,3,5.17%,0.00%,0,70.7,Long-term Target,High,290,0,0.0,Informational,Ahrefs
courses children of summer,6.5,43,0,0.00%,6.00%,2,70.7,Long-term Target,High,215,0,0.0,Informational,Ahrefs
senthisis,2.6,21,2,9.52%,14.48%,3,70.7,CTR Optimization,High,105,0,0.0,Informational,Ahrefs
math school ai,8.4,64,1,1.56%,1.44%,0,70.7,Long-term Target,High,320,0,0.0,Informational,Ahrefs
elon musk math teacher,4.6,29,0,0.00%,13.00%,3,70.7,Long-term Target,High,145,0,0.0,Informational,Ahrefs
synthesls,2.2,21,4,19.05%,4.95%,1,70.6,Long-term Target,High,105,0,0.0,Informational,Ahrefs
after-school event ideas,14.7,160,0,0.00%,2.00%,3,70.6,Top 10 Push,High,800,0,0.0,Informational,Ahrefs
famous educational games,7.0,47,0,0.00%,4.00%,1,70.6,Long-term Target,High,235,0,0.0,Informational,Ahrefs
ai tutor school,7.9,52,0,0.00%,4.00%,2,70.6,Long-term Target,High,260,0,0.0,Informational,Ahrefs
free math ai tutor,7.1,49,1,2.04%,1.96%,0,70.6,Long-term Target,High,245,0,0.0,Informational,Ahrefs
synethsis,2.4,263,22,8.37%,15.63%,41,70.6,CTR Optimization,High,1315,50,0.0,Informational,GSC Est.
elon musk home school,7.8,52,1,1.92%,2.08%,1,70.5,Long-term Target,High,260,0,0.0,Informational,Ahrefs
ai tutor for high school students,6.8,42,0,0.00%,6.00%,2,70.5,Long-term Target,High,210,0,0.0,Informational,Ahrefs
best educational video games for 5 year olds,4.0,25,0,0.00%,13.00%,3,70.5,Long-term Target,High,125,0,0.0,Commercial,Ahrefs
ai tutor,22.7,5466,53,0.97%,1.03%,56,70.5,First Page Push,High,5466,34,1.0,Informational,Ahrefs
best video games for school,8.1,54,0,0.00%,3.00%,1,70.5,Long-term Target,High,270,0,0.0,Commercial,Ahrefs
synthesia ai tutor,2.8,23,10,43.48%,0.00%,0,70.5,Long-term Target,High,115,0,0.0,Informational,Ahrefs
synthesies,2.4,210,4,1.90%,22.10%,46,70.5,CTR Optimization,High,1050,50,0.0,Informational,GSC Est.
ai tutor maths,7.1,47,2,4.26%,0.00%,0,70.5,Long-term Target,High,235,0,0.0,Informational,Ahrefs
kids math tutor online,13.4,130,1,0.77%,1.23%,1,70.5,Top 10 Push,High,650,0,0.0,Informational,Ahrefs
online summer camp 2025,5.2,32,1,3.12%,5.88%,1,70.4,Long-term Target,High,160,0,0.0,Informational,Ahrefs
sinthesise ai,5.2,32,1,3.12%,5.88%,1,70.4,Long-term Target,High,160,0,0.0,Informational,Ahrefs
elon musk online school for kids,5.0,32,3,9.38%,0.00%,0,70.4,Long-term Target,High,160,0,0.0,Informational,Ahrefs
sythesys,5.3,32,1,3.12%,5.88%,1,70.4,Long-term Target,High,160,0,0.0,Informational,Ahrefs
educational console games,5.2,30,0,0.00%,9.00%,2,70.4,Long-term Target,High,150,0,0.0,Informational,Ahrefs
online ai math tutor,6.5,41,5,12.20%,0.00%,0,70.4,Long-term Target,High,205,0,0.0,Informational,Ahrefs
best ai tutor for math,5.8,33,0,0.00%,9.00%,2,70.4,Long-term Target,High,165,0,0.0,Commercial,Ahrefs
learning video games for 7 year olds,5.7,119,1,0.84%,8.16%,9,70.4,Top 3 Push,High,119,0,0.0,Informational,Ahrefs
change tutoring,10.2,72,0,0.00%,2.00%,1,70.3,Long-term Target,High,360,0,0.0,Informational,Ahrefs
math tutor online ai,5.3,32,2,6.25%,2.75%,0,70.3,Long-term Target,High,160,0,0.0,Informational,Ahrefs
list of educational video games,5.0,29,1,3.45%,5.55%,1,70.3,Long-term Target,High,145,0,0.0,Informational,Ahrefs
maths tutor for 5 year old,9.7,63,0,0.00%,2.50%,1,70.3,Long-term Target,High,315,0,0.0,Informational,Ahrefs
how much does a math tutor cost,31.6,2158,0,0.00%,2.00%,43,70.2,Long-term Target,High,2158,0,1.5,Commercial,Ahrefs
best ai tutors for kids,5.1,29,1,3.45%,5.55%,1,70.2,Long-term Target,High,145,0,0.0,Commercial,Ahrefs
synthetis ai,4.3,26,5,19.23%,0.00%,0,70.2,Long-term Target,High,130,0,0.0,Informational,Ahrefs
elon musk ai education,5.5,32,2,6.25%,2.75%,0,70.2,Long-term Target,High,160,0,0.0,Informational,Ahrefs
math help.tech,4.6,24,0,0.00%,13.00%,3,70.2,Long-term Target,High,120,0,0.0,Informational,Ahrefs
easy tutoring app,8.1,245,1,0.41%,2.59%,6,70.2,Top 3 Push,High,245,3,2.5,Navigational,Ahrefs
educational video games for 6 year olds,5.8,30,0,0.00%,9.00%,2,70.1,Long-term Target,High,150,0,0.0,Informational,Ahrefs
