#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
12,darpa,us,46,47000,1.50,0.56,darpa,2025-06-06 03:00:05,"Sitelinks,People also ask,Knowledge panel",73000,24000,33000,2015-09-01,"Informational,Branded,Non-local"
13,240 tutoring,us,12,36000,0.07,1.05,240 tutoring,2025-06-05 14:50:55,"Sitelinks,People also ask,Knowledge panel",37000,45000,47000,2015-09-02,"Informational,Commercial,Branded,Non-local"
14,ai math solver,us,48,36000,0.60,,mathgpt,2025-06-05 23:19:06,"Sitelinks,Top stories,Thumbnail,Video preview",59000,80000,173000,2017-10-13,"Informational,Non-branded,Non-local"
15,k5 learning,us,4,33000,1.40,1.06,k5 learning,2025-06-06 02:47:18,Sitelinks,50000,58000,77000,2015-09-01,"Informational,Branded,Non-local"
16,elon musk kids name,us,59,33000,,,elon musk kid name,2025-06-05 16:02:06,"Thumbnail,People also ask,Sitelinks,Knowledge panel,Top stories,Video preview",43000,62000,85000,2020-01-10,"Informational,Non-branded,Non-local"
17,math help,us,90,31000,0.70,1.22,math solver,2025-06-03 01:54:22,"Sitelinks,People also ask",35000,2100000,2890000,2015-09-01,"Informational,Non-branded,Non-local"
18,games for kids,us,85,31000,0.20,0.89,pbs kids games,2025-06-05 14:31:51,"Sitelinks,People also ask,Shopping,Thumbnail,Top stories",71000,435000,556000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
19,keyword,us,88,30000,0.70,0.54,keyword game,2025-06-04 10:17:59,,162000,28000,39000,2015-09-01,"Informational,Non-branded,Non-local"
20,math ai solver,us,58,28000,0.60,,mathgpt,2025-06-05 19:28:39,"Top ads,Sitelinks,Top stories,Thumbnail,Bottom ads,Paid sitelinks",51000,80000,173000,2022-03-16,"Informational,Non-branded,Non-local"
21,school ai,us,59,27000,,,schoolai,2025-06-03 01:38:55,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",38000,29000,32000,2017-06-25,"Informational,Branded,Non-local"
22,elon musk son name,us,48,27000,0.01,,elon musk kid name,2025-06-05 20:49:00,"People also ask,Top stories,Thumbnail,Knowledge panel,Sitelinks",49000,62000,85000,2020-01-14,"Informational,Non-branded,Non-local"
23,first in math,us,6,25000,0.90,1.03,first in math,2025-06-06 01:14:20,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",39000,51000,61000,2015-09-01,"Informational,Branded,Non-local"
24,elon musk children names,us,47,23000,,,elon musk children,2025-06-05 04:40:58,"Sitelinks,People also ask,Knowledge panel",46000,282000,365000,2017-07-23,"Informational,Non-branded,Non-local"
25,tutoring,us,83,23000,5.00,0.46,online tutoring,2025-06-05 00:04:49,"Local pack,People also ask,Sitelinks,Thumbnail,Top stories,Video preview",49000,36000,45000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
26,elon musk children ages,us,55,23000,,0.88,elon musk children ages,2025-06-04 09:35:55,"People also ask,Sitelinks",29000,40000,63000,2015-09-11,"Informational,Non-branded,Non-local"
27,tutor,us,87,21000,5.00,0.38,online tutoring,2025-06-05 07:35:42,"Sitelinks,People also ask",132000,36000,45000,2015-09-01,"Informational,Non-branded,Non-local"
28,math gpt,us,13,20000,0.10,,mathgpt,2025-06-03 03:43:56,"Top stories,Thumbnail,Video preview",76000,76000,171000,2022-12-12,"Informational,Branded,Non-local"
29,elon musk kid name,us,35,19000,,,elon musk kid name,2025-06-05 20:27:36,"Thumbnail,People also ask,Sitelinks,Knowledge panel,Top stories,Video preview",24000,62000,85000,2020-01-10,"Informational,Non-branded,Non-local"
30,elon musk kids names,us,47,19000,,,elon musk children,2025-06-03 06:12:13,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",25000,266000,351000,2019-07-01,"Informational,Non-branded,Non-local"
31,elon musk mom,us,18,18000,0.02,0.23,elon musk family,2025-06-05 22:56:15,"People also ask,Knowledge panel,Top stories,Thumbnail,Sitelinks",20000,38000,60000,2015-09-12,"Informational,Non-branded,Non-local"
32,educational games,us,91,17000,0.80,0.95,educational games,2025-06-05 11:25:39,"Sitelinks,Thumbnail,Top stories,People also ask",32000,8000,13000,2015-09-01,"Informational,Non-branded,Non-local"
33,math lessons site,us,95,17000,1.30,,khan academy,2025-06-05 22:51:33,Sitelinks,17000,1650000,2440000,2023-11-30,"Informational,Non-branded,Non-local"
34,elon musk family,us,56,16000,0.04,0.39,elon musk family,2025-06-06 05:09:00,"Thumbnail,People also ask,Sitelinks,Knowledge panel,Top stories",24000,38000,60000,2015-09-12,"Informational,Non-branded,Non-local"
35,comb over,us,5,16000,2.50,0.2,comb over,2025-06-05 10:16:44,"AI overview,Thumbnail,People also ask,Knowledge panel,Top stories,Sitelinks,Discussions",37000,2000,3800,2015-09-01,"Informational,Non-branded,Non-local"
36,elon musk baby,us,18,16000,,,musk children,2025-06-03 05:04:53,"Top stories,Thumbnail,People also ask,Sitelinks,Discussions",18000,600,1800,2017-11-24,"Informational,Non-branded,Non-local"
37,elon musk young,us,11,15000,0.25,0.32,elon musk,2025-06-05 14:29:10,"Thumbnail,People also ask,Top stories,Sitelinks",32000,397000,689000,2015-09-01,"Informational,Non-branded,Non-local"
38,ai math,us,33,14000,0.15,,math solver,2025-06-04 19:01:30,"Top ads,Sitelinks,People also ask,Top stories,Thumbnail",25000,754000,1290000,2016-02-23,"Informational,Non-branded,Non-local"
39,how much does elon musk make a day,us,14,12000,0.20,,how much does elon musk make a day,2025-06-06 03:27:56,"AI overview,Thumbnail,People also ask,Top stories,Sitelinks",18000,6200,8100,2017-11-18,"Informational,Non-branded,Non-local"
40,online tutoring,us,89,11000,2.50,1.01,online tutoring,2025-06-05 08:38:29,"People also ask,Top stories,Thumbnail,Video preview",28000,36000,45000,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
41,beyond compare,us,7,11000,0.25,0.98,beyond compare,2025-06-05 03:28:59,"Sitelinks,People also ask,Knowledge panel",32000,10000,27000,2015-09-01,"Informational,Commercial,Branded,Non-local"
42,math lessons,us,70,11000,1.10,0.93,math lessons,2025-06-05 00:34:07,Sitelinks,14000,13000,14000,2015-09-03,"Informational,Non-branded,Non-local"
43,elon musk's children,us,57,11000,,0.54,elon musk children,2025-06-05 16:03:00,"Sitelinks,People also ask,Top stories,Thumbnail,Knowledge panel",13000,319000,408000,2016-05-17,"Informational,Non-branded,Non-local"
44,how many kids does elon have,us,54,10000,,,elon musk children,2025-06-06 00:17:48,"Knowledge card,People also ask,Sitelinks,Top stories,Thumbnail",12000,319000,408000,2020-01-10,"Informational,Non-branded,Non-local"
45,math solver ai,us,34,10000,0.45,,mathgpt,2025-06-06 00:28:09,"Sitelinks,Top stories,Thumbnail",30000,80000,173000,2017-02-27,"Informational,Non-branded,Non-local"
46,elon musk child name,us,26,9900,,,elon musk kid name,2025-06-06 04:17:27,"Thumbnail,People also ask,Sitelinks,Knowledge panel",18000,62000,85000,2020-01-10,"Informational,Non-branded,Non-local"
47,elon musk child,us,59,9500,,0.41,elon musk children,2025-06-05 11:14:40,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks",14000,282000,365000,2016-01-15,"Informational,Non-branded,Non-local"
48,elon musk's kids,us,59,9400,,0.55,elon musk children,2025-06-06 05:12:10,"Sitelinks,People also ask,Knowledge panel",11000,319000,408000,2015-09-11,"Informational,Non-branded,Non-local"
49,elon musk kid,us,59,9100,,,elon musk children,2025-06-05 15:43:00,"Top stories,Thumbnail,People also ask,Knowledge panel,Sitelinks",12000,319000,408000,2016-03-23,"Informational,Non-branded,Non-local"
50,ai games,us,50,8800,1.10,0.86,ai dungeon,2025-06-05 10:42:37,"Sitelinks,Thumbnail,People also ask,Top stories,Video preview,Discussions",19000,43000,69000,2015-10-12,"Informational,Non-branded,Non-local"
51,math fact lab,us,16,8600,0.50,,mathfactlab,2025-06-07 01:07:22,"Sitelinks,People also ask,Knowledge panel,Video preview",10000,16000,17000,2022-09-15,"Informational,Branded,Non-local"
52,go math,us,31,7800,0.40,1.03,go math,2025-06-03 00:56:44,"People also ask,Sitelinks",11000,6300,7100,2015-09-01,"Informational,Branded,Non-local"
53,math is fun,us,60,7500,0.60,0.9,math,2025-06-05 17:12:07,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",12000,17000,36000,2015-09-01,"Informational,Non-branded,Non-local"
54,elon musks sons name,us,34,7400,0.01,,elon musk kid name,2025-06-04 09:23:51,"People also ask,Thumbnail,Knowledge panel,Sitelinks,Top stories,Video preview",8400,60000,85000,2020-05-05,"Informational,Non-branded,Non-local"
55,free nova games,us,19,7200,0.40,,freezenova,2025-06-09 02:41:01,"Sitelinks,Video preview",7600,1690000,2040000,2016-10-20,"Informational,Branded,Non-local"
56,elon musk's kids names,us,47,7200,,,elon musk children,2025-06-06 00:23:38,"Sitelinks,People also ask,Knowledge panel",8700,319000,408000,2020-05-05,"Informational,Non-branded,Non-local"
57,cpm homework help,us,31,7000,1.00,1.02,homework help cpm,2025-06-03 03:44:55,Sitelinks,7200,9200,9300,2015-09-01,"Informational,Branded,Non-local"
58,school games,us,91,6700,,0.89,school game,2025-06-05 11:59:08,"AI overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",9500,2600,3000,2015-09-01,"Informational,Non-branded,Non-local"
59,math tutor,us,73,6400,7.00,0.61,math tutor,2025-06-06 00:27:51,"Local pack,People also ask,Thumbnail,Sitelinks,Top stories,Video preview",15000,2000,3900,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
60,ai in education,us,58,6400,2.00,1.51,ai in education,2025-06-05 14:55:17,People also ask,25000,3600,5800,2016-06-02,"Informational,Non-branded,Non-local"
61,josh hollywood,us,0,6100,,0.43,josh hollywood,2025-06-05 09:43:45,"People also ask,Thumbnail,Sitelinks,Top stories,Video preview",8100,3400,3700,2015-09-08,"Informational,Non-branded,Non-local"
62,math 99,us,2,5900,0.70,0.33,99math,2025-06-04 06:24:08,"Sitelinks,People also ask",9800,1050000,1180000,2015-12-13,"Informational,Branded,Non-local"
63,math lessons life,us,15,5800,1.20,,math lesson,2025-06-05 18:03:31,Sitelinks,5900,150,150,2024-02-28,"Informational,Non-branded,Non-local"
64,kid flash,us,2,5700,,0.41,wally west,2025-06-05 18:16:29,"Sitelinks,People also ask,Knowledge panel,Thumbnail,Top stories",12000,2300,3400,2015-09-01,"Informational,Non-branded,Non-local"
65,math solver app,us,85,5700,1.00,0.55,take a picture math solver,2025-06-05 05:02:19,"People also ask,Sitelinks",7900,9900,9900,2015-09-03,"Informational,Commercial,Non-branded,Non-local"
66,ai for teachers,us,64,5700,1.70,,magic school ai,2025-06-03 04:34:21,"Sitelinks,People also ask",9200,107000,150000,2020-05-27,"Informational,Non-branded,Non-local"
67,99 math.com,us,24,5500,0.45,,99math,2025-06-09 17:22:07,"Sitelinks,People also ask,Video preview",5800,1110000,1250000,2020-01-14,"Informational,Navigational,Branded,Non-local"
68,kindle unlimited free trial,us,8,5300,2.00,1.13,kindle unlimited,2025-06-05 03:04:12,"AI overview,Thumbnail,People also ask,Sitelinks",7800,73000,82000,2015-09-03,"Informational,Commercial,Transactional,Branded,Non-local"
69,fun school math,us,95,5300,,,fun school math,2025-06-05 12:04:17,"Thumbnail,Sitelinks",5700,2700,2700,2023-10-06,"Informational,Non-branded,Non-local"
70,math manipulatives,us,69,5200,0.30,0.64,math manipulatives,2025-06-05 05:21:30,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories",6800,3100,4000,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
71,math in spanish,us,0,5000,0.10,0.25,math in spanish,2025-06-05 19:43:38,"Knowledge card,AI overview,People also ask,Sitelinks",5300,900,900,2015-09-01,"Informational,Non-branded,Non-local"
72,elon musk son x,us,51,5000,0.05,,elon musk kid name,2025-06-05 00:35:59,"People also ask,Top stories,Thumbnail,Sitelinks",6800,63000,88000,2020-05-05,"Informational,Non-branded,Non-local"
73,astra space,us,14,5000,0.06,0.95,astra,2025-06-03 04:21:54,"Sitelinks,People also ask,Knowledge panel",8000,12000,14000,2016-05-31,"Informational,Branded,Non-local"
74,combover,us,4,4800,0.35,0.12,comb over,2025-06-03 00:21:17,"AI overview,Thumbnail,People also ask,Knowledge panel,Sitelinks,Top stories,Video preview,Discussions",9600,2000,3800,2015-09-02,"Informational,Non-branded,Non-local"
75,99 math login,us,47,4800,0.30,,99 math join,2025-06-09 09:38:06,"Sitelinks,Video preview",5300,19000,21000,2020-11-01,"Navigational,Branded,Non-local"
76,math tutors near me,us,21,4600,9.00,1.25,mathnasium,2025-06-05 03:12:26,"Local pack,People also ask,Sitelinks",6500,46000,49000,2015-09-05,"Informational,Commercial,Non-branded,Local"
77,5th grade age,us,6,4400,,0.15,what grade are 12 year olds in,2025-06-06 02:20:34,"People also ask,Sitelinks",11000,35000,43000,2015-09-02,"Informational,Non-branded,Non-local"
78,tutors,us,85,4400,5.00,0.56,tutoring near me,2025-06-03 04:28:06,"Local pack,Sitelinks,People also ask",13000,4400,5700,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
79,amazon kids tablet,us,4,4200,,0.72,amazon kids tablet,2025-06-04 16:47:18,"Shopping,Thumbnail,People also ask,Sitelinks,Discussions,Top stories",11000,2500,2900,2015-09-02,"Informational,Commercial,Transactional,Branded,Non-local"
80,math tutor near me,us,26,4200,9.00,1.12,math tutor near me,2025-06-05 13:20:17,"Local pack,People also ask",7100,4400,4600,2015-09-07,"Informational,Commercial,Non-branded,Local"
81,elon musk's kids name,us,40,4200,,,elon musk kid name,2025-06-06 03:17:41,"Thumbnail,People also ask,Sitelinks,Knowledge panel,Top stories,Video preview",4400,62000,85000,2020-05-05,"Informational,Non-branded,Non-local"
82,99.math,us,64,4200,0.90,,99math,2025-06-06 01:55:13,"Sitelinks,People also ask",4800,1040000,1180000,2020-09-23,"Informational,Branded,Non-local"
83,keiki,us,19,4100,0.80,0.28,keiki,2025-06-03 04:00:55,"Sitelinks,People also ask,Knowledge panel",10000,800,1800,2015-09-04,"Informational,Non-branded,Non-local"
84,ai tutor,us,34,4100,1.00,,ai tutor,2025-06-05 12:14:07,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",13000,1800,6600,2017-05-13,"Informational,Non-branded,Non-local"
85,math apps,us,84,4100,1.00,0.65,math,2025-06-06 01:01:24,"AI overview,Thumbnail,Sitelinks,People also ask,Knowledge panel,Top stories,Video preview",6000,9200,12000,2015-09-03,"Informational,Non-branded,Non-local"
86,elon musks kids,us,59,4000,,0.41,elon musk children,2025-06-05 20:08:33,"Sitelinks,People also ask,Knowledge panel",4800,319000,408000,2016-07-14,"Informational,Non-branded,Non-local"
87,learning games for kids,us,91,4000,1.20,1.04,abcya,2025-06-05 09:18:04,"Shopping,Thumbnail,Sitelinks,Top stories,Video preview",7100,2470000,2630000,2015-09-01,"Informational,Non-branded,Non-local"
88,99 math code,us,24,3900,0.15,,99 math join,2025-06-04 11:10:09,"Sitelinks,People also ask",4200,77000,81000,2020-09-18,"Informational,Branded,Non-local"
89,homeschool spanish academy,us,0,3800,1.60,1.08,homeschool spanish academy,2025-06-07 20:01:06,"Sitelinks,People also ask,Video preview",4200,5000,5200,2015-09-01,"Informational,Commercial,Branded,Non-local"
90,elon musk's son,us,59,3800,0.06,,elon musk children,2025-06-03 06:31:46,"Sitelinks,People also ask,Knowledge panel",4700,266000,351000,2016-05-06,"Informational,Non-branded,Non-local"
91,amazon kids parent dashboard,us,5,3700,,,amazon parent dashboard,2025-06-05 00:54:24,"Discussions,People also ask",3900,35000,36000,2020-08-31,"Informational,Navigational,Branded,Non-local"
92,bjt,us,33,3700,0.35,0.58,bjt,2025-06-05 22:51:23,"AI overview,Thumbnail,Featured snippet,People also ask,Knowledge panel,Sitelinks",27000,2100,8700,2015-09-01,"Informational,Non-branded,Non-local"
93,math dyslexia,us,52,3600,0.70,0.56,dyscalculia,2025-06-06 00:15:54,"People also ask,Sitelinks",4600,7600,12000,2015-09-01,"Informational,Non-branded,Non-local"
94,lifetime tables,us,7,3600,0.20,1.07,lifetime tables,2025-06-05 05:49:27,"Thumbnail,Sitelinks,Shopping,People also ask",4300,6400,10000,2015-09-01,"Informational,Commercial,Branded,Non-local"
95,how many baby mamas does elon musk have,us,50,3500,,,elon musk children ages,2025-06-05 00:04:36,"Knowledge card,People also ask,Thumbnail,Knowledge panel,Sitelinks",3600,19000,35000,2020-02-11,"Informational,Non-branded,Non-local"
96,math ai solver free,us,52,3400,0.45,,math solver,2025-06-06 02:48:40,Sitelinks,5500,772000,1340000,2023-02-22,"Informational,Non-branded,Non-local"
97,boot camp for kids,us,2,3300,1.10,0.83,boot camp for kids,2025-06-05 09:56:09,"People also ask,Sitelinks,Discussions",4000,1900,2000,2015-09-01,"Informational,Non-branded,Non-local"
98,math lessons space,us,,3300,,,,,,3600,,,2024-05-28,
99,240 tutoring login,us,3,3300,0.10,,240 tutoring,2025-06-05 18:25:15,Sitelinks,3400,45000,47000,2016-02-24,"Navigational,Branded,Non-local"
100,elon musk wikipedia name change offer,us,1,3200,,,elon musk wikipédia,2025-06-04 18:20:16,"Featured snippet,Thumbnail,People also ask,Sitelinks",4000,1200,1200,2024-12-25,"Informational,Branded,Non-local"
101,elon musk how many kids,us,53,3200,,,how many children does elon musk have,2025-06-04 12:52:28,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",4100,13000,16000,2017-04-03,"Informational,Non-branded,Non-local"
102,how many children does elon have,us,47,3200,,,elon musk children,2025-06-05 23:08:46,"Knowledge card,People also ask,Sitelinks",3500,319000,408000,2020-05-13,"Informational,Non-branded,Non-local"
103,adastra,us,63,3100,0.80,0.41,adastra,2025-06-06 00:48:13,"Sitelinks,People also ask",19000,1100,4400,2015-09-01,"Informational,Branded,Non-local"
104,how long until 6am,us,11,3100,,,how many hours till 6 am,2025-06-06 04:23:11,Sitelinks,4500,6600,7100,2016-12-25,"Informational,Non-branded,Non-local"
105,math helper,us,65,3100,0.70,1.12,math solver,2025-06-06 03:12:10,"Sitelinks,Top stories,Video preview",5300,2530000,3400000,2015-09-03,"Informational,Non-branded,Non-local"
106,camping games,us,1,3100,0.10,0.95,camping games,2025-06-06 01:44:17,"Sitelinks,People also ask,Shopping,Thumbnail",6300,2500,3800,2015-09-01,"Informational,Non-branded,Non-local"
107,christmas teams background,us,4,3100,1.30,,teams christmas background images,2025-06-06 02:32:00,Thumbnail,7600,4200,7900,2020-07-08,"Informational,Branded,Non-local"
108,games to play on school chromebook,us,1,3000,,,games to play on a school chromebook,2025-06-06 14:13:29,"Sitelinks,People also ask,Video preview",3200,1400,1500,2018-03-30,"Informational,Non-branded,Non-local"
109,ai learning,us,67,3000,3.50,0.51,learn ai,2025-06-03 04:38:24,"AI overview,Thumbnail,People also ask,Sitelinks",7900,4500,10000,2015-09-04,"Informational,Non-branded,Non-local"
110,educational games for kids,us,91,3000,1.20,1.06,abcya,2025-06-06 00:18:54,"AI overview,Thumbnail,Sitelinks,Shopping,People also ask,Top stories,Video preview",17000,2360000,2520000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
111,ipad kids,us,15,3000,,0.56,ipad kid,2025-06-05 02:29:53,"People also ask,Sitelinks,Discussions,Top stories,Thumbnail",9500,1300,1900,2015-10-01,"Informational,Commercial,Branded,Non-local"
112,how much does elon musk make a year,us,19,3000,,0.53,how much does elon make a year,2025-06-04 12:53:03,"People also ask,Sitelinks,Top stories,Thumbnail",4400,600,800,2016-03-09,"Informational,Non-branded,Non-local"
113,math teacher,us,12,3000,3.50,0.31,math teacher,2025-06-05 14:54:13,"Sitelinks,People also ask",8100,400,450,2015-09-01,"Informational,Non-branded,Non-local"
114,kids ipad,us,3,3000,,0.76,ipad mini,2025-06-06 01:40:22,"Sitelinks,People also ask,Thumbnail,Discussions,Top stories,Shopping",7800,82000,96000,2015-09-19,"Informational,Commercial,Branded,Non-local"
115,does elon musk have kids,us,57,2900,,0.57,elon musk children,2025-06-05 22:01:03,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",3200,319000,408000,2015-11-29,"Informational,Non-branded,Non-local"
116,learning app,us,61,2900,1.80,0.55,leaning up,2025-06-05 08:57:42,"People also ask,Sitelinks,Top stories,Thumbnail",15000,30,24000,2015-10-16,"Informational,Non-branded,Non-local"
117,all my sons moving reviews,us,1,2900,4.00,0.93,all my sons moving reviews,2025-06-06 03:17:11,"Sitelinks,People also ask",3000,1900,1900,2015-09-05,"Informational,Commercial,Branded,Non-local"
118,math learning center,us,9,2900,2.00,0.8,math learning center,2025-06-03 02:03:08,"Sitelinks,Local pack",4500,2900,3200,2015-09-01,"Informational,Branded,Non-local"
119,elon musk children how many,us,56,2900,,,elon musk children,2025-06-03 06:05:47,"Knowledge card,People also ask,Knowledge panel,Sitelinks",4300,266000,351000,2020-05-05,"Informational,Non-branded,Non-local"
120,elon musk sons name,us,27,2900,0.01,,elon musk kid name,2025-06-06 00:35:03,"People also ask,Knowledge panel,Sitelinks",4400,62000,85000,2020-05-05,"Informational,Non-branded,Non-local"
121,amazon fire kids tablet,us,4,2900,,0.69,amazon fire kids tablet,2025-06-06 02:10:13,"Sitelinks,People also ask,Shopping,Thumbnail,Top stories",6900,2300,2300,2015-09-19,"Informational,Commercial,Transactional,Branded,Non-local"
122,99 math .com,us,46,2900,0.45,,99math,2025-06-08 13:47:43,"Sitelinks,Video preview",3000,1110000,1250000,2020-01-14,"Informational,Navigational,Branded,Non-local"
123,how long until 1pm,us,11,2900,,,how many hours until 1 today,2025-06-06 00:37:29,"People also ask,Sitelinks",4900,12000,14000,2015-10-30,"Informational,Non-branded,Non-local"
124,ai baby,us,3,2800,,,ai baby,2025-06-03 05:27:16,"Top stories,Thumbnail,People also ask,Sitelinks",10000,1300,3000,2015-10-09,"Informational,Non-branded,Non-local"
125,math ai free,us,16,2800,0.45,,math solver,2025-06-06 00:33:53,Sitelinks,5400,772000,1340000,2023-01-30,"Informational,Non-branded,Non-local"
126,math tutoring,us,74,2800,6.00,0.63,mathnasium,2025-06-03 05:01:36,"Local pack,Sitelinks,Thumbnail,People also ask,Top stories",5700,44000,48000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
127,elon musks kids name,us,48,2800,,,elon musk kid name,2025-06-03 06:08:16,"Thumbnail,People also ask,Sitelinks,Knowledge panel",3000,61000,85000,2020-04-25,"Informational,Non-branded,Non-local"
128,games for school,us,93,2800,,0.83,starfall,2025-06-05 01:10:19,"Thumbnail,Sitelinks,Top stories,Video preview",3900,444000,472000,2015-09-03,"Informational,Non-branded,Non-local"
129,summer programs for kids,us,18,2800,,0.9,summer camps,2025-06-05 02:43:43,"People also ask,Knowledge panel,Sitelinks,Discussions",3900,41000,43000,2015-09-17,"Informational,Non-branded,Non-local"
130,how many kids elon musk,us,56,2800,,,kidselon musk,2025-06-05 21:05:00,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",3300,0,0,2018-12-26,"Informational,Non-branded,Non-local"
131,free thinker,us,46,2700,0.70,0.35,free thinker,2025-06-03 02:29:55,"Knowledge card,People also ask,Knowledge panel,Top stories,Thumbnail,Sitelinks",3700,350,400,2015-09-02,"Informational,Non-branded,Non-local"
132,after school activities,us,4,2700,,0.56,after school activities,2025-06-06 01:01:53,"People also ask,Sitelinks",6200,2400,2600,2015-09-01,"Informational,Non-branded,Non-local"
133,elon musk home,us,8,2700,0.06,0.73,elon musk house,2025-06-06 02:58:46,"AI overview,Thumbnail,People also ask,Top stories,Sitelinks",7300,3700,8500,2015-09-19,"Informational,Non-branded,Non-local"
134,how to do fractions,us,2,2700,0.80,0.72,how to do fractions,2025-06-06 03:49:54,"AI overview,Thumbnail,People also ask,Sitelinks",4300,350,600,2015-09-01,"Informational,Non-branded,Non-local"
135,online math tutoring,us,40,2700,8.00,1.19,online math tutoring,2025-06-05 01:23:03,"Top ads,People also ask,Sitelinks,Top stories,Thumbnail,Video preview,Bottom ads",3600,5200,5700,2015-09-16,"Informational,Commercial,Non-branded,Non-local"
136,holiday games,us,9,2700,0.04,0.94,holiday games,2025-06-03 06:05:44,"Thumbnail,People also ask,Top stories,Video preview,Sitelinks",3300,1100,1200,2015-09-14,"Informational,Non-branded,Non-local"
137,math tutoring near me,us,29,2700,9.00,1.01,mathnasium,2025-06-06 03:28:20,"Local pack,People also ask,Sitelinks",4300,44000,48000,2015-11-05,"Informational,Commercial,Non-branded,Local"
138,desmond child,us,10,2700,,0.65,desmond child net worth,2025-06-05 01:51:48,"Knowledge panel,Sitelinks,People also ask,Thumbnail",14000,40,6900,2015-09-01,"Informational,Non-branded,Non-local"
139,8am to 5pm is how many hours,us,10,2600,0.45,0.85,8-5 is how many hours,2025-06-05 07:30:17,"People also ask,Sitelinks",4000,3600,4700,2015-10-04,"Informational,Non-branded,Non-local"
140,kids learning,us,97,2600,,0.48,starfall,2025-06-06 05:18:39,"Sitelinks,People also ask",6400,432000,459000,2015-09-01,"Informational,Non-branded,Non-local"
141,elon musk school,us,33,2600,,0.85,elon musk school,2025-06-05 14:26:40,"People also ask,Knowledge panel,Sitelinks",3500,2700,2900,2015-09-04,"Informational,Branded,Non-local"
142,$29 an hour is how much a year,us,4,2600,,0.19,how much is $29 an hour annually,2025-06-05 20:34:11,"Featured snippet,People also ask,Sitelinks",2800,4800,5200,2015-09-02,"Informational,Non-branded,Non-local"
